id,name,code,aliases,lat,lng,osmId
"acacia-residence-hall-mens-dorm-8-9","Acacia Residence Hall (Mens Dorm 8, 9)","","Acacia Residence Hall (Men's Dorm 8, 9)","15.7325771","120.9268017","relation/6694406"
"academic-affairs-building","Academic Affairs Building","","","15.7353415","120.9328901","way/451771208"
"administration-building","Administration Building","","","15.7313583","120.9302984","way/451771252"
"advanced-communications-center-for-english-teaching","Advanced Communications Center for English Teaching","","","15.7350967","120.9336662","way/866608651"
"affiliated-renewable-energy-center","Affiliated Renewable Energy Center","","","15.7351971","120.9310105","way/451771205"
"agri-food-and-technology-businees-incubator","Agri Food and Technology Businees Incubator","","","15.7391968","120.9349042","way/451771229"
"agri-food-and-technology-businees-incubator-2","Agri Food and Technology Businees Incubator","","","15.7397478","120.9354813","way/451771230"
"alumni-center","Alumni Center","","","15.7308216","120.9286385","way/451759783"
"alumni-food-court","Alumni Food Court","","","15.7311669","120.9283284","way/866608638"
"bachelor-apartment","Bachelor Apartment","","","15.7326422","120.9272569","way/451759773"
"bagong-sikat-gymn","Bagong Sikat gymn","","","15.7374743","120.923235","way/451783185"
"capture-fisheries-laboratory","Capture Fisheries Laboratory","","","15.7360014","120.9477657","way/1425486072"
"cass-department-of-development-communication","CASS Department of Development Communication","","","15.7364642","120.9332307","way/865849139"
"center-for-educational-resource-developmetn-and-services","Center for Educational Resource Developmetn and Services","","","15.7347453","120.9317486","way/866608669"
"central-luzon-ict-research-development-and-training-center","Central Luzon ICT Research, Development, and Training Center","","","15.7380305","120.9335057","way/794431232"
"cf-fac-research-laboratory","CF- FAC Research Laboratory","","","15.7353045","120.9469914","way/1425484153"
"choice-cable-tv-office","Choice Cable TV Office","","","15.7313568","120.931643","way/451786283"
"chsi-dept-of-hospitality-management","CHSI Dept.of Hospitality Management","","","15.7273734","120.9263969","way/451786265"
"climate-change-center","Climate Change Center","","","15.7364205","120.9348622","way/794431228"
"clsu-distance-open-and-transnational-university","CLSU Distance, Open, and Transnational University","","","15.7347349","120.9322769","way/451771212"
"clsu-infirmary","CLSU Infirmary","","","15.7304401","120.9278993","way/384984982"
"clsu-weather-station","CLSU Weather Station","","","15.735599","120.9366135","way/451787387"
"college-of-agriculture","College of Agriculture","","","15.735851","120.9408756","way/451788642"
"college-of-arts-and-social-sciences","College of Arts and Social Sciences","","","15.7356976","120.9334665","way/451771201"
"college-of-business-administration-and-accountancy","College of Business Administration and Accountancy","","","15.7370428","120.9337395","way/451771216"
"college-of-education","College of Education","","","15.7379398","120.9375388","way/1343648879"
"college-of-education-2","College of Education","","","15.7371113","120.9360753","way/1343648880"
"college-of-education-3","College of Education","","","15.7377556","120.9362077","way/1343648881"
"college-of-engineering","College of Engineering","","","15.7354326","120.9322581","way/451771207"
"college-of-engineering-2","College of Engineering","","","15.7356146","120.9314787","way/866608671"
"college-of-engineering-activity-center","College of Engineering Activity Center","","","15.7356938","120.9308709","way/451763329"
"college-of-engineering-annex","College of Engineering Annex","","","15.7352709","120.9314539","way/866608670"
"college-of-engineering-student-center","College of Engineering Student Center","","","15.7355462","120.9311979","way/866608672"
"college-of-fisheries","College of Fisheries","","","15.7356995","120.9467291","way/1425484568"
"college-of-sciences","College of Sciences","","","15.7372798","120.9350991","way/451771219"
"college-of-sciences-department-of-math-and-physics","College of Sciences Department of Math and Physics","","","15.733028","120.9305036","way/451763324"
"college-of-veterinary-science-and-medicine","College of Veterinary Science and Medicine","","","15.7387604","120.9335061","way/451763332"
"collge-of-home-sciences-and-industry","Collge of Home Sciences and Industry","","","15.7347473","120.9331601","way/451771210"
"commission-on-audit","Commission on Audit","","","15.7317566","120.9305945","way/866608652"
"computer-center","Computer Center","","","15.7333843","120.9289781","way/451759792"
"department-of-animal-science","Department of Animal Science","","","15.740587","120.9310521","way/391707217"
"department-of-crop-protection","Department of Crop Protection","","","15.7344609","120.9415926","way/643649728"
"deped-clsu-elementary-school-lab","DepEd-CLSU Elementary School (Lab.)","","","15.7331284","120.9311732","way/866608655"
"dhm-building","DHM Building","","","15.7269259","120.9259852","way/451786264"
"dost-provincial-science-and-technology-center","DOST Provincial Science and Technology Center","","","15.7265636","120.9256361","way/866657686"
"dost-tuklas-lunas-project-building","DOST Tuklas Lunas Project Building","","","15.7380949","120.9351814","way/451771227"
"dungon-residence-hall-mens-dorm-6-7","Dungon Residence Hall ( Mens Dorm 6, 7)","","Dungon Residence Hall ( Men's Dorm 6, 7)","15.7325296","120.9261174","relation/6694404"
"executive-house","Executive House","","","15.7335852","120.9278193","way/451779101"
"fac-hatchery-building","FAC Hatchery Building","","","15.7365962","120.9477591","way/1425485627"
"fai","FAI","","","15.7323831","120.9274812","way/451759777"
"flora-and-fauna-building","Flora and Fauna Building","","","15.7387123","120.935514","way/1343648876"
"fpj-development-communication-hall","FPJ Development Communication Hall","","","15.7364144","120.9336641","way/794431229"
"gt-oil","GT Oil","","","15.7299301","120.9301228","way/836961320"
"institute-of-climate-change-and-environmental-management","Institute of Climate Change and Environmental Management","","","15.7357305","120.9344222","way/451771214"
"ispear-gymnasium","ISPEAR Gymnasium","","","15.7382522","120.9325257","way/451763331"
"kamagong-residence-hall-mens-dorm-4-5","Kamagong Residence Hall (Mens Dorm 4, 5)","","Kamagong Residence Hall (Men's Dorm 4, 5)","15.732116","120.9261486","relation/6694402"
"ladies-dorm-1","Ladies Dorm 1","","","15.7308679","120.9269231","way/451759760"
"ladies-dorm-2","Ladies Dorm 2","","Ladie's Dorm 2","15.7313973","120.9286972","way/451759788"
"ladies-dorm-5","Ladies Dorm 5","","","15.7352307","120.9299707","way/451771199"
"ladies-dorm-6","Ladies Dorm 6","","","15.7306778","120.9263555","way/451759759"
"ladies-dorm-7","Ladies Dorm 7","","","15.7318038","120.9275855","way/451759762"
"ladies-dorm-8","Ladies Dorm 8","","","15.7312033","120.9276065","way/451759763"
"ladiess-dorm-4","Ladiess Dorm 4","","Ladies's Dorm 4","15.7328962","120.9290343","way/451759793"
"land-and-water-resources-management-center","Land and Water Resources Management Center","","","15.7352676","120.9306488","way/451763327"
"living-fish-museum","Living Fish Museum","","","15.7362245","120.9475444","way/1425485117"
"mahogany-residence-hall-mens-dorm-10-11","Mahogany Residence Hall (Mens Dorm 10, 11)","","Mahogany Residence Hall (Men's Dorm 10, 11)","15.7321757","120.9268262","relation/6694405"
"milka-krem","Milka Krem","","","15.741828","120.9415404","way/793885060"
"molecular-biology-and-biotechnology-laboratory","Molecular Biology and Biotechnology Laboratory","","","15.7359046","120.9474351","way/1425484704"
"nontechnology-research-center","Nontechnology Research Center","","","15.7383188","120.9359101","way/1343648875"
"nstp-office","NSTP Office","","","15.7348432","120.9304364","way/795155232"
"office-of-admissions","Office of Admissions","","","15.7359843","120.9348226","way/451771215"
"office-of-student-affairs","Office of Student Affairs","","","15.7315033","120.927895","way/451759764"
"public-affairs-office","Public Affairs Office","","","15.7312489","120.929252","way/451759787"
"regional-science-and-teaching-center-hostel","Regional Science and Teaching Center Hostel","","","15.733156","120.930322","way/451763325"
"reimers-hall","Reimers Hall","","Reimer's Hall","15.7342472","120.9317314","way/451771203"
"research-extension-and-training-building","Research, Extension, and Training Building","","","15.7296742","120.928489","way/238974275"
"ret-cafeteria","RET Cafeteria","","","15.7296452","120.927909","way/451771264"
"ret-hostel","RET Hostel","","","15.7292429","120.9279619","way/451771262"
"science-and-technology-centrum","Science and Technology Centrum","","","15.7309336","120.9293631","way/451759786"
"study-hall","Study Hall","","","15.7314175","120.9279689","way/451759766"
"tan-yan-kee-gymnasium","Tan Yan Kee Gymnasium","","","15.7318567","120.9290309","way/451759780"
"training-dormitory","Training Dormitory","","","15.7293734","120.9276728","way/451771263"
"university-accreditation-center","University Accreditation Center","","","15.7362423","120.9350898","way/865527334"
"university-auditorium","University Auditorium","","","15.7346575","120.9309353","way/866608668"
"university-band-quarters","University Band Quarters","","","15.733795","120.9303982","way/866608641"
"university-business-affairs-program","University Business Affairs Program","","","15.7346165","120.9325571","way/451771211"
"university-guest-house","University Guest House","","","15.7358106","120.9301602","way/451771200"
"university-library","University Library","","","15.7367026","120.9340624","way/321396272"
"university-science-high-school","University Science High School","","","15.7328805","120.9311606","way/866608662"
"university-science-high-school-canteen","University Science High School Canteen","","","15.7330338","120.9310179","way/866608663"
